,标题,链接,总价,均价,位置1,位置2,房屋户型,房本面积,房屋朝向,一手房源,所在楼层,装修情况,产权年限,建筑年代,小区名,小区均价,物业费,容积率,绿化率,车位信息
85,急！推窗即是海 全海景洋房 对望厦门鼓浪屿双子塔?,https://xm.58.com/ershoufang/44314385529619x.shtml,250,17858元/㎡,厦门周边,南海一路29号,3室2厅2卫,140.0㎡,南北, 否 ,中层(共7层),毛坯,70年产权,2015年,招商卡达凯斯,12020.0元/㎡,0.0元/平米/月,1.5,40,500
86,文灶电梯高层漂亮楼中楼，英才商厦，全明结构，业主?,https://xm.58.com/ershoufang/44303644255120x.shtml,555,74708元/㎡,思明,厦禾路855号,3室2厅2卫,74.29㎡,南北, 否 ,中层(共22层),精装修,70年产权,2005年,英才商厦,75491.0元/㎡,0.8元/平米/月,0,0,120
87,塘边地铁口大唐世家旁樱花山庄 2室1厅1卫 57?,https://xm.58.com/ershoufang/44355627280009x.shtml,235,41229元/㎡,湖里,园山北路45-99号,2室1厅1卫,57.0㎡,南北, 否 ,高层(共7层),简单装修,70年产权,1998年,樱花山庄,41357.0元/㎡,1.0元/平米/月,0,0,300
88,永鸿阅海湾 带幼 儿 园 首付19万板做四房 海?,https://xm.58.com/ershoufang/44323449597857x.shtml,86.33,9700元/㎡,厦门周边,"招商大道,近丽江路",4室2厅1卫,89.0㎡,南北, 是 ,中层(共32层),精装修,70年产权,2017年,永鸿悦海湾,9821.0元/㎡,1.5元/平米/月,3,30.05,690
89,陆丰里 2室1厅1卫 产权满五 中等装修 可拎包?,https://xm.58.com/ershoufang/44258024426881x.shtml,110,16177元/㎡,同安,陆丰里253-255号,2室1厅1卫,68.0㎡,南, 否 ,中层(共6层),简单装修,70年产权,1995年,陆丰综合楼,18416.0元/㎡,0,0,"
                                            ",
90,经典毛坯 两房 高层看海无遮挡 随时看房 随时签?,https://xm.58.com/ershoufang/44355744005794x.shtml,195,26070元/㎡,翔安,浦园三里2-14号,2室2厅1卫,74.8㎡,南北, 否 ,中层(共31层),毛坯,70年产权,2015年,阳光城翡丽湾(二期),28639.0元/㎡,2.3元/平米/月,2.5,30,30
91,劲爆大降价 集美嘉庚旁 地段好环境优 进出岛方便?,https://xm.58.com/ershoufang/44294307897352x.shtml,175,20565元/㎡,同安,美人山一里2-28号,2室2厅1卫,85.1㎡,北, 否 ,中层(共30层),精装修,70年产权,2010年,禹洲大学城,24420.0元/㎡,1.6元/平米/月,4.5,35,1100
92,新出特.惠.房单价6999首付6万 高.赠.月供?,https://xm.58.com/ershoufang/44181233004555x.shtml,62.29,6999元/㎡,厦门周边,208省道,3室2厅2卫,89.0㎡,南北, 是 ,中层(共26层),毛坯,70年产权,2016年,中骏四季花都,7330.0元/㎡,1.98元/平米/月,2.2,25,617
93,新华都旁泉水湾三期  BRT 精装俩房  满二 ?,https://xm.58.com/ershoufang/44179012828455x.shtml,298,33922元/㎡,集美,乐海北里320-329号,2室2厅1卫,87.85㎡,南北, 否 ,低层(共26层),精装修,70年产权,2013年,泉舜泉水湾(三期),37358.0元/㎡,1.8元/平米/月,3.49,35,350
94,1室1厅 148万 朝南 满五  住房 楼层好 ?,https://xm.58.com/ershoufang/44334424486306x.shtml,148,22596元/㎡,集美,康成二里3-19号,1室1厅1卫,65.5㎡,南, 否 ,低层(共33层),简单装修,70年产权,2010年,夏商大学康城(二期),23719.0元/㎡,1.25元/平米/月,2.5,45,500
95,买新房找我有团购价 专车接送 低首付低总价 南北?,https://xm.58.com/ershoufang/44117830373140x.shtml,142,15956元/㎡,同安,汀溪街,3室1厅2卫,89.0㎡,南, 是 ,,毛坯,70年产权,2021年,大唐水云间,16480.0元/㎡,2.8元/平米/月,1,36,700
96,东方巴黎十佳小区 双地铁口 空中   全明 大4?,https://xm.58.com/ershoufang/44333392678680x.shtml,698,47483元/㎡,湖里,嘉禾路334-380号,4室3厅2卫,147.0㎡,南北, 否 ,高层(共9层),简单装修,70年产权,2004年,东方巴黎广场,56908.0元/㎡,1.5元/平米/月,2,45,800
97,顶层 楼中楼（汇丰 南北四房 温馨装修 使用30?,https://xm.58.com/ershoufang/44324920714900x.shtml,1788,81685元/㎡,思明,文屏一里1-23号,4室3厅3卫,218.89㎡,南北, 否 ,高层(共12层),精装修,70年产权,2006年,汇丰家园,76655.0元/㎡,1.2元/平米/月,0,43,100
98,文化宫 宁宝 杏东 万科里附近精装2房明厨明卫首?,https://xm.58.com/ershoufang/44324563624453x.shtml,160,26667元/㎡,集美,纺织路73-91号,2室2厅1卫,60.0㎡,南北, 否 ,高层(共18层),精装修,70年产权,1993年,华铃花园,26624.0元/㎡,1.0元/平米/月,3.59,38,50
99,吕厝双地铁口 电梯高层楼中楼 客厅挑空6米全明朝?,https://xm.58.com/ershoufang/44102340420236x.shtml,750,51725元/㎡,湖里,嘉禾路334-380号,6室2厅2卫,145.0㎡,南北, 否 ,高层(共8层),精装修,70年产权,2005年,东方巴黎广场,56908.0元/㎡,1.5元/平米/月,2,45,800
100,聚镇 270万 3室2厅113平 满二  住房 ?,https://xm.58.com/ershoufang/44277896808080x.shtml,270,23691元/㎡,集美,锦园东里1-16号,3室2厅2卫,113.97㎡,南北, 否 ,低层(共33层),精装修,70年产权,2011年,聚镇,24050.0元/㎡,1.6元/平米/月,2.79,38,700
101,集美高层精装海景大三房 送家具家电 双阳台两卫 ?,https://xm.58.com/ershoufang/44278602195848x.shtml,213,22874元/㎡,同安,美人山一里2-28号,3室2厅2卫,93.12㎡,南北, 否 ,高层(共34层),精装修,70年产权,2010年,禹洲大学城,24420.0元/㎡,1.6元/平米/月,4.5,35,1100
102,阳光城文澜府 4室2厅2卫 近地铁 装修交付 配?,https://xm.58.com/ershoufang/44211337369092x.shtml,332,31029元/㎡,集美,"灌口中路,近景湖北路",4室2厅2卫,107.0㎡,南, 是 ,,精装修,70年产权,2020年,阳光城文澜府,31011.0元/㎡,3.0元/平米/月,3.08,30,920
103,必买好房海投天籁精装88平两房仅312万?,https://xm.58.com/ershoufang/44222994344604x.shtml,318,36129元/㎡,海沧,海富里356-363号,2室2厅1卫,88.02㎡,南北, 否 ,中层(共18层),精装修,70年产权,2006年,未来海岸系天籁,36016.0元/㎡,2.0元/平米/月,3.5,40,500
104,挂读五缘，1室1厅1卫50平480万，地铁第1站?,https://xm.58.com/ershoufang/44277343861543x.shtml,480,95618元/㎡,湖里,五缘西二里7-32号,1室1厅1卫,50.2㎡,南, 否 ,中层(共21层),豪华装修,70年产权,2014年,国贸润园,90587.0元/㎡,2.8元/平米/月,1.83,45,1200
105,杏北小学旁 中海品质 中楼层 无遮挡 精装修 业?,https://xm.58.com/ershoufang/44006405907974x.shtml,235,24277元/㎡,集美,锦园东二里12-17号,3室2厅1卫,96.8㎡,南, 否 ,中层(共34层),精装修,70年产权,2015年,中海锦城国际(二期),24844.0元/㎡,2.9元/平米/月,2.59,33,300
106,水晶湖郡 南北通透大三房 高层看湖 房东急售 总?,https://xm.58.com/ershoufang/44355471729052x.shtml,510,36957元/㎡,集美,"滨水五里1-11,69-70,88-89号",3室2厅2卫,138.0㎡,南北, 否 ,高层(共23层),毛坯,70年产权,2018年,水晶湖郡(五期公寓),41884.0元/㎡,2.5元/平米/月,2.2,40,1033
107,同城湾 凤凰城 岳口小区旁 幸福U品 电梯中层采?,https://xm.58.com/ershoufang/44337048971416x.shtml,89,21323元/㎡,同安,岳东里104-110号,1室1厅1卫,41.74㎡,南北, 否 ,高层(共7层),精装修,70年产权,2011年,幸福U品,21100.0元/㎡,0.8元/平米/月,1.6,15,50
108,吕厝地铁口，精装3房2卫，业主是我哥，价格我说的?,https://xm.58.com/ershoufang/44095615674015x.shtml,598,54025元/㎡,湖里,嘉禾路320-332号,3室2厅2卫,110.69㎡,东北, 否 ,中层(共27层),豪华装修,70年产权,2007年,冠宏花园,54649.0元/㎡,1.2元/平米/月,2.7,45,120
109,地铁附近大 唐世家  区 复试楼中楼南北格局4房?,https://xm.58.com/ershoufang/44082041738261x.shtml,700,42945元/㎡,湖里,兴隆路535-625号,4室2厅2卫,163.0㎡,南, 否 ,低层(共9层),精装修,70年产权,2000年,湖里大唐世家(三期公寓住宅),44041.0元/㎡,1.5元/平米/月,0,0,240
110,6室2厅193.39平方米朝南?,https://xm.58.com/ershoufang/44059269356555x.shtml,1160,59983元/㎡,湖里,五缘东二里1-17号,6室2厅2卫,193.39㎡,南, 否 ,低层(共28层),精装修,70年产权,2009年,国贸蓝海(公寓住宅),66800.0元/㎡,2.6元/平米/月,2.06,45,560
111,马銮湾1号 3室2厅2卫 高绿化率 配套成熟 免?,https://xm.58.com/ershoufang/44347087111555x.shtml,377,36961元/㎡,海沧,"新阳大道,近新景路",3室2厅2卫,102.0㎡,南, 是 ,,精装修,70年产权,2021年,马銮湾1号,36945.0元/㎡,3.5元/平米/月,3,35,995
112,读五缘实验精装大2房南北通透拎包入住采光好看房方?,https://xm.58.com/ershoufang/44269363922060x.shtml,645,79650元/㎡,湖里,五缘西二里2-5号,2室1厅1卫,80.98㎡,东南, 否 ,低层(共14层),精装修,70年产权,2009年,亿力悦海,87450.0元/㎡,2.2元/平米/月,2.5,25,300
113,东南向 三室二厅 高端装修 江头?,https://xm.58.com/ershoufang/44288747888806x.shtml,668,54804元/㎡,湖里,嘉禾路320-332号,3室2厅2卫,121.89㎡,东南, 否 ,中层(共28层),豪华装修,,2007年,冠宏花园,54649.0元/㎡,1.2元/平米/月,2.7,45,120
114,满五  住房 杏北小学旁 聚镇 楼层好 视野好 ?,https://xm.58.com/ershoufang/43947354167689x.shtml,228,26307元/㎡,集美,锦园东里1-16号,3室2厅2卫,86.67㎡,南北, 否 ,低层(共29层),精装修,70年产权,2012年,聚镇,24050.0元/㎡,1.6元/平米/月,2.79,38,700
115,观赏湖海双景 142平 623万 精装修 天源(?,https://xm.58.com/ershoufang/44183099130265x.shtml,623,43607元/㎡,海沧,滨湖一里83-121号,3室2厅2卫,142.87㎡,南北, 否 ,中层(共33层),精装修,70年产权,2014年,天源(A区),45694.0元/㎡,2.5元/平米/月,2.7,40,900
116,集美新城 核心地段精装边套大三房 国贸品质 业主?,https://xm.58.com/ershoufang/44101012060576x.shtml,440,34921元/㎡,集美,杏北六里35-45号,3室2厅2卫,126.0㎡,南北, 否 ,高层(共32层),精装修,70年产权,2018年,国贸天悦(一期),37986.0元/㎡,2.8元/平米/月,3.27,30,1266
117,急售好房 杏北锦园居住区 中海锦城国际  居家自?,https://xm.58.com/ershoufang/43960251205659x.shtml,235,24585元/㎡,集美,锦园东二里18-27号,3室2厅1卫,95.59㎡,南北, 否 ,低层(共34层),精装修,70年产权,2013年,中海锦城国际(一期),24968.0元/㎡,2.9元/平米/月,2.59,33,500
118,聚镇 116平 电梯房 3室2厅 诚心出售 价格?,https://xm.58.com/ershoufang/44323052460183x.shtml,280,23975元/㎡,集美,锦园东里1-16号,3室2厅2卫,116.79㎡,南北, 否 ,高层(共33层),精装修,70年产权,2011年,聚镇,24050.0元/㎡,1.6元/平米/月,2.79,38,700
119,一线海景新景国际外滩业主150万全实木装修四房三?,https://xm.58.com/ershoufang/44311830338327x.shtml,1480,94970元/㎡,湖里,五缘西一里1-61号,4室2厅3卫,155.84㎡,南北, 否 ,低层(共20层),精装修,70年产权,2014年,新景国际外滩,102036.0元/㎡,2.2元/平米/月,1.8,40,1800
120,换房急，满5，吕厝地铁口，南北通透大3房，高层看?,https://xm.58.com/ershoufang/44288868912929x.shtml,596,47612元/㎡,湖里,江头西路1-19号,3室2厅2卫,125.18㎡,南北, 否 ,高层(共28层),豪华装修,70年产权,2004年,新景园,47320.0元/㎡,1.75元/平米/月,3,30,180
121,单价三万三 首付80万 中航城刚需三房 边套全明?,https://xm.58.com/ershoufang/44355266391847x.shtml,333,32648元/㎡,集美,九天湖二里1-11号,3室2厅1卫,102.0㎡,西南, 否 ,低层(共33层),精装修,70年产权,2015年,中航城国际社区(C区东区),39183.0元/㎡,2.6元/平米/月,0,0,400
122,未来橙堡A 精装2室2厅 南北通透 109万 居?,https://xm.58.com/ershoufang/44090598136835x.shtml,109,36273元/㎡,海沧,渐美里11-97号,2室2厅1卫,30.05㎡,南北, 否 ,高层(共6层),精装修,70年产权,2004年,未来橙堡A,31374.0元/㎡,0.8元/平米/月,2.4,35,500
123,华林东盛花园二期前埔北区精装电梯高层软件园附近0?,https://xm.58.com/ershoufang/44355726275332x.shtml,336,59968元/㎡,思明,前埔东一里17-32号,2室1厅1卫,56.03㎡,南, 否 ,高层(共11层),精装修,70年产权,2006年,华林东盛花园二期,58362.0元/㎡,1.2元/平米/月,1,0,100
124,鑫海湾面积大平层稳定在售（边套三面采光） 带花园?,https://xm.58.com/ershoufang/44355784208406x.shtml,850,70640元/㎡,湖里,"五缘西三里50-60,102-150号",3室2厅2卫,120.33㎡,东北, 否 ,低层(共16层),豪华装修,70年产权,2009年,源昌鑫海湾(公寓住宅),107538.0元/㎡,2.7元/平米/月,1.8,50,1380
125,国贸品质 热典学区 经典三房 满2年 高端装修 ?,https://xm.58.com/ershoufang/44336506230149x.shtml,1080,84966元/㎡,湖里,五缘西二里7-32号,3室2厅2卫,127.11㎡,西南, 否 ,高层(共14层),豪华装修,70年产权,2013年,国贸润园,90587.0元/㎡,2.8元/平米/月,1.83,45,1200
126,3室2厅91.03平方米朝南?,https://xm.58.com/ershoufang/44247447266854x.shtml,315,34604元/㎡,集美,宁海二里10-15号,3室2厅1卫,91.03㎡,南, 否 ,中层(共37层),精装修,70年产权,2014年,禹洲中央海岸(一期),33992.0元/㎡,2.68元/平米/月,4.34,33,1000
127,已改好3房 精装修 满二  住房 南北通透 居家?,https://xm.58.com/ershoufang/44289928359699x.shtml,249,32764元/㎡,海沧,"海旺路77-79号,沧翔路192-234号",2室2厅1卫,76.0㎡,南北, 否 ,高层(共7层),精装修,70年产权,2000年,金茂花园,32433.0元/㎡,1.5元/平米/月,0,20,500
128,龙湖春江郦城 业主自住精装四房 使用面积120平?,https://xm.58.com/ershoufang/44338164550949x.shtml,388,39963元/㎡,集美,杏北七里1-21号,4室2厅2卫,97.09㎡,南, 否 ,高层(共33层),精装修,70年产权,2017年,龙湖春江郦城(一期),39231.0元/㎡,3.0元/平米/月,4.35,35,800
129,洋房急急急售   保利叁仟栋  精装大平层 保利?,https://xm.58.com/ershoufang/44337268886048x.shtml,390,36929元/㎡,同安,美峰二里1-23号,4室2厅2卫,105.61㎡,南, 否 ,低层(共6层),精装修,70年产权,2018年,保利叁仟栋(一期公寓住宅),33659.0元/㎡,3.1元/平米/月,2.1,30,1000
130,滨海社区 维多利亚中层朝南看中庭两房出售 划片双?,https://xm.58.com/ershoufang/44272255114500x.shtml,382,42931元/㎡,海沧,沧虹东里1-21号,2室2厅1卫,88.98㎡,南, 否 ,低层(共33层),毛坯,70年产权,2011年,海晟维多利亚,46948.0元/㎡,3.0元/平米/月,3.4,76,3000
131,美地雅登读外国语学校两房 业主急售 价格可议?,https://xm.58.com/ershoufang/44311735143686x.shtml,203,27809元/㎡,翔安,祥吴三里1-15号,2室2厅1卫,73.0㎡,南北, 否 ,低层(共18层),简单装修,70年产权,2010年,美地雅登祥吴三里,27274.0元/㎡,1.2元/平米/月,2.5,44,300
132,开门即山 书香正浓 厦大助您成才 厦门湾南岸 双?,https://xm.58.com/ershoufang/44344473963669x.shtml,90,8491元/㎡,厦门周边,南滨大道389号,3室2厅2卫,106.0㎡,南北, 是 ,中层(共33层),精装修,70年产权,2018年,永鸿厦门湾南岸,9579.0元/㎡,1.9元/平米/月,3.31,25,1513
133,漳州港低总价四房 两梯两户 双阳台 读附.小附.?,https://xm.58.com/ershoufang/44261318803205x.shtml,106,8539元/㎡,厦门周边,南滨大道278号,4室2厅2卫,124.15㎡,南北, 否 ,低层(共17层),毛坯,70年产权,2016年,永鸿御景湾,10422.0元/㎡,1.2元/平米/月,1.64,35,500
134,海沧体育中心 2室2厅1卫 81.0平米 275?,https://xm.58.com/ershoufang/44269958338050x.shtml,275,33951元/㎡,海沧,兴港五里57-80号,2室2厅1卫,81.0㎡,南, 否 ,中层(共18层),精装修,70年产权,2000年,未来海岸系蓝水郡,32682.0元/㎡,2.0元/平米/月,2,40,600
135,集美嘉庚旁，业主急售精装修大三房 满五  省双税?,https://xm.58.com/ershoufang/44289651851292x.shtml,230,24339元/㎡,同安,美人山一里2-28号,3室2厅1卫,94.5㎡,北, 否 ,中层(共30层),精装修,70年产权,2010年,禹洲大学城,24420.0元/㎡,1.6元/平米/月,4.5,35,1100
136,集美嘉庚旁  中高楼层采光好，业主急售价格可谈 ?,https://xm.58.com/ershoufang/44292048501148x.shtml,205,22096元/㎡,同安,美人山一里2-28号,3室2厅1卫,92.78㎡,南, 否 ,中层(共24层),简单装修,70年产权,2010年,禹洲大学城,24420.0元/㎡,1.6元/平米/月,4.5,35,1100
137,捡漏！降价15万 单价8800元君悦海岸4房送面?,https://xm.58.com/ershoufang/44350236889507x.shtml,102.46,8800元/㎡,厦门周边,南海西路8号,4室2厅2卫,116.44㎡,南北, 否 ,低层(共32层),毛坯,70年产权,2014年,君悦黄金海岸,8918.0元/㎡,2.5元/平米/月,3.11,39,500
138,天源精装三房，一见倾心，值得拥有.北师大名校?,https://xm.58.com/ershoufang/44258666475397x.shtml,516,44039元/㎡,海沧,"滨湖一里151-155,188-189号",3室2厅2卫,117.17㎡,东南, 否 ,低层(共30层),精装修,70年产权,2016年,天源(B区公寓住宅),52813.0元/㎡,2.9元/平米/月,2.61,43,650
139,急）厦门海沧旁厦门湾一号正对双鱼岛无遮挡全海景双?,https://xm.58.com/ershoufang/44356273401232x.shtml,46,7302元/㎡,厦门周边,南滨大道,2室1厅1卫,63.0㎡,南北, 否 ,高层(共32层),毛坯,70年产权,2016年,永鸿厦门湾1号,9509.0元/㎡,1.9元/平米/月,2.7,25,502
140,招商兰溪谷 带独立露台高品质一梯两户洋房 南北通?,https://xm.58.com/ershoufang/44336501870982x.shtml,118,10000元/㎡,厦门周边,南滨大道,3室2厅2卫,118.0㎡,西南, 是 ,高层(共9层),毛坯,70年产权,2016年,招商兰溪谷,11767.0元/㎡,1.25元/平米/月,1,40,5396
141,蓝水郡 精装1房1厅 带厨卫 划片北师大 电梯房?,https://xm.58.com/ershoufang/44348009130636x.shtml,125,36055元/㎡,海沧,兴港五里57-80号,1室1厅1卫,34.67㎡,南, 否 ,低层(共18层),精装修,70年产权,2008年,未来海岸系蓝水郡,32682.0元/㎡,2.0元/平米/月,2,40,600
142,（真实优选）乐活小镇精装两房双阳台  满五  带?,https://xm.58.com/ershoufang/43282827580706x.shtml,169.6,19939元/㎡,集美,黄庄三里60-243号,2室2厅1卫,85.06㎡,南北, 否 ,中层(共18层),精装修,70年产权,2009年,乐活小镇,21749.0元/㎡,1.1元/平米/月,2.6,40,50
143,蓝月湾二期 D总价288万 2房2厅 精装 划片?,https://xm.58.com/ershoufang/44245200451350x.shtml,288,32873元/㎡,海沧,嵩屿北五里34-56号,2室2厅1卫,87.61㎡,南北, 否 ,高层(共11层),精装修,70年产权,2008年,未来海岸蓝月湾(二期),35412.0元/㎡,1.6元/平米/月,3.2,45,500
144,悦美筼筜旁 曾营百年名校 146平单价2.2万 ?,https://xm.58.com/ershoufang/44347151831692x.shtml,329,22567元/㎡,集美,銮浦路80-90号,3室2厅2卫,145.79㎡,南北, 否 ,低层(共28层),简单装修,70年产权,2013年,雍景金銮湾,26974.0元/㎡,1.8元/平米/月,5.2,41,500
145,集美万达地铁口附近，可落户，可读实小，首付低，交?,https://xm.58.com/ershoufang/44292280043910x.shtml,78,22768元/㎡,集美,黄庄三里60-243号,1室1厅1卫,34.26㎡,南北, 否 ,中层(共18层),精装修,70年产权,2009年,乐活小镇,21749.0元/㎡,1.1元/平米/月,2.6,40,50
146,婚房进来，一手房特价，双 全海景，厦门湾一号 对?,https://xm.58.com/ershoufang/44292805676688x.shtml,100,8696元/㎡,厦门周边,南滨大道,3室2厅2卫,115.0㎡,南北, 是 ,中层(共30层),毛坯,70年产权,2016年,永鸿厦门湾1号,9509.0元/㎡,1.9元/平米/月,2.7,25,502
